,YearSchluessel,Year,Stadt-/Landkreis,Anteil Schulabgänger mit allgem. Hochschulreife in %,Anteil Schulabgänger ohne Hauptschulabschluss in %,LAND_NAME,LAND_ABK
3457,200903457,2009,Landkreis Leer,15.100000000000001,9.3,Niedersachsen,NI
3457,201303457,2013,Landkreis Leer,18.6,7.5,Niedersachsen,NI
3457,201703457,2017,Landkreis Leer,18.900000000000002,9.200000000000001,Niedersachsen,NI
3458,200903458,2009,Landkreis Oldenburg (Land),13.100000000000001,7.0,Niedersachsen,NI
3458,201303458,2013,Landkreis Oldenburg (Land),12.3,4.3,Niedersachsen,NI
3458,201703458,2017,Landkreis Oldenburg (Land),13.700000000000001,7.7,Niedersachsen,NI
3459,200903459,2009,Landkreis Osnabrück (Land),16.6,6.4,Niedersachsen,NI
3459,201303459,2013,Landkreis Osnabrück (Land),20.8,4.1000000000000005,Niedersachsen,NI
3459,201703459,2017,Landkreis Osnabrück (Land),24.0,6.800000000000001,Niedersachsen,NI
3460,200903460,2009,Landkreis Vechta,26.6,6.1000000000000005,Niedersachsen,NI
3460,201303460,2013,Landkreis Vechta,28.400000000000002,4.5,Niedersachsen,NI
3460,201703460,2017,Landkreis Vechta,27.5,8.8,Niedersachsen,NI
3461,200903461,2009,Landkreis Wesermarsch,24.900000000000002,4.3,Niedersachsen,NI
3461,201303461,2013,Landkreis Wesermarsch,25.700000000000003,4.1000000000000005,Niedersachsen,NI
3461,201703461,2017,Landkreis Wesermarsch,26.8,4.1000000000000005,Niedersachsen,NI
3462,200903462,2009,Landkreis Wittmund,23.5,5.0,Niedersachsen,NI
3462,201303462,2013,Landkreis Wittmund,27.1,4.7,Niedersachsen,NI
3462,201703462,2017,Landkreis Wittmund,31.700000000000003,5.800000000000001,Niedersachsen,NI
4011,200904011,2009,Bremen,32.7,5.1000000000000005,Bremen,HB
4011,201304011,2013,Bremen,37.5,6.1000000000000005,Bremen,HB
4011,201704011,2017,Bremen,38.1,8.4,Bremen,HB
4012,200904012,2009,Bremerhaven,32.7,9.200000000000001,Bremen,HB
4012,201304012,2013,Bremerhaven,38.800000000000004,6.2,Bremen,HB
4012,201704012,2017,Bremerhaven,33.2,7.800000000000001,Bremen,HB
5111,200905111,2009,Düsseldorf,35.6,8.4,Nordrhein-Westfalen,NW
5111,201305111,2013,Düsseldorf,51.400000000000006,5.0,Nordrhein-Westfalen,NW
5111,201705111,2017,Düsseldorf,42.6,5.6000000000000005,Nordrhein-Westfalen,NW
5112,200905112,2009,Duisburg,28.3,8.5,Nordrhein-Westfalen,NW
5112,201305112,2013,Duisburg,44.5,5.7,Nordrhein-Westfalen,NW
5112,201705112,2017,Duisburg,37.2,7.0,Nordrhein-Westfalen,NW
5113,200905113,2009,Essen,35.1,8.0,Nordrhein-Westfalen,NW
5113,201305113,2013,Essen,51.1,5.800000000000001,Nordrhein-Westfalen,NW
5113,201705113,2017,Essen,40.0,7.800000000000001,Nordrhein-Westfalen,NW
5114,200905114,2009,Krefeld,31.5,7.6000000000000005,Nordrhein-Westfalen,NW
5114,201305114,2013,Krefeld,44.1,5.6000000000000005,Nordrhein-Westfalen,NW
5114,201705114,2017,Krefeld,39.0,6.800000000000001,Nordrhein-Westfalen,NW
5116,200905116,2009,Mönchengladbach,30.3,7.7,Nordrhein-Westfalen,NW
5116,201305116,2013,Mönchengladbach,45.5,7.1000000000000005,Nordrhein-Westfalen,NW
5116,201705116,2017,Mönchengladbach,41.1,7.4,Nordrhein-Westfalen,NW
5117,200905117,2009,Mülheim an der Ruhr,34.9,4.7,Nordrhein-Westfalen,NW
5117,201305117,2013,Mülheim an der Ruhr,54.800000000000004,3.4000000000000004,Nordrhein-Westfalen,NW
5117,201705117,2017,Mülheim an der Ruhr,47.800000000000004,4.7,Nordrhein-Westfalen,NW
5119,200905119,2009,Oberhausen,28.5,7.4,Nordrhein-Westfalen,NW
5119,201305119,2013,Oberhausen,44.6,4.7,Nordrhein-Westfalen,NW
5119,201705119,2017,Oberhausen,41.900000000000006,5.5,Nordrhein-Westfalen,NW
5120,200905120,2009,Remscheid,29.700000000000003,5.4,Nordrhein-Westfalen,NW
5120,201305120,2013,Remscheid,44.2,2.8000000000000003,Nordrhein-Westfalen,NW
5120,201705120,2017,Remscheid,39.400000000000006,5.6000000000000005,Nordrhein-Westfalen,NW
5122,200905122,2009,Solingen,34.2,5.6000000000000005,Nordrhein-Westfalen,NW
5122,201305122,2013,Solingen,48.5,4.4,Nordrhein-Westfalen,NW
5122,201705122,2017,Solingen,42.6,5.6000000000000005,Nordrhein-Westfalen,NW
5124,200905124,2009,Wuppertal,33.1,7.7,Nordrhein-Westfalen,NW
5124,201305124,2013,Wuppertal,46.7,4.9,Nordrhein-Westfalen,NW
5124,201705124,2017,Wuppertal,38.5,6.1000000000000005,Nordrhein-Westfalen,NW
5154,200905154,2009,Kreis Kleve,22.8,4.9,Nordrhein-Westfalen,NW
5154,201305154,2013,Kreis Kleve,39.7,5.5,Nordrhein-Westfalen,NW
5154,201705154,2017,Kreis Kleve,30.1,7.6000000000000005,Nordrhein-Westfalen,NW
5158,200905158,2009,Kreis Mettmann,30.400000000000002,5.1000000000000005,Nordrhein-Westfalen,NW
5158,201305158,2013,Kreis Mettmann,43.400000000000006,4.4,Nordrhein-Westfalen,NW
5158,201705158,2017,Kreis Mettmann,38.900000000000006,4.9,Nordrhein-Westfalen,NW
5162,200905162,2009,Rhein-Kreis Neuss,34.4,4.800000000000001,Nordrhein-Westfalen,NW
5162,201305162,2013,Rhein-Kreis Neuss,50.5,3.4000000000000004,Nordrhein-Westfalen,NW
5162,201705162,2017,Rhein-Kreis Neuss,44.1,3.5,Nordrhein-Westfalen,NW
5166,200905166,2009,Kreis Viersen,32.300000000000004,5.4,Nordrhein-Westfalen,NW
5166,201305166,2013,Kreis Viersen,49.1,4.3,Nordrhein-Westfalen,NW
5166,201705166,2017,Kreis Viersen,41.800000000000004,4.5,Nordrhein-Westfalen,NW
5170,200905170,2009,Kreis Wesel,28.1,5.300000000000001,Nordrhein-Westfalen,NW
5170,201305170,2013,Kreis Wesel,45.7,4.3,Nordrhein-Westfalen,NW
5170,201705170,2017,Kreis Wesel,39.5,4.9,Nordrhein-Westfalen,NW
5314,200905314,2009,Bonn,46.0,4.5,Nordrhein-Westfalen,NW
5314,201305314,2013,Bonn,56.800000000000004,2.8000000000000003,Nordrhein-Westfalen,NW
5314,201705314,2017,Bonn,50.0,4.3,Nordrhein-Westfalen,NW
5315,200905315,2009,Köln,34.0,5.5,Nordrhein-Westfalen,NW
5315,201305315,2013,Köln,47.800000000000004,4.3,Nordrhein-Westfalen,NW
5315,201705315,2017,Köln,42.1,4.6000000000000005,Nordrhein-Westfalen,NW
5316,200905316,2009,Leverkusen,40.1,3.4000000000000004,Nordrhein-Westfalen,NW
5316,201305316,2013,Leverkusen,50.7,5.7,Nordrhein-Westfalen,NW
5316,201705316,2017,Leverkusen,44.900000000000006,3.8000000000000003,Nordrhein-Westfalen,NW
5334,200905334,2009,Aachen,34.2,5.300000000000001,Nordrhein-Westfalen,NW
5334,201305334,2013,Aachen,51.7,3.7,Nordrhein-Westfalen,NW
5334,201705334,2017,Aachen,44.0,4.800000000000001,Nordrhein-Westfalen,NW
5354,200905354,2009,Kreis Aachen,,,Nordrhein-Westfalen,NW
5354,201305354,2013,Kreis Aachen,,,Nordrhein-Westfalen,NW
5354,201705354,2017,Kreis Aachen,,,Nordrhein-Westfalen,NW
5358,200905358,2009,Kreis Düren,28.8,4.1000000000000005,Nordrhein-Westfalen,NW
5358,201305358,2013,Kreis Düren,44.7,3.8000000000000003,Nordrhein-Westfalen,NW
5358,201705358,2017,Kreis Düren,38.800000000000004,5.0,Nordrhein-Westfalen,NW
5362,200905362,2009,Rhein-Erft-Kreis,30.700000000000003,6.0,Nordrhein-Westfalen,NW
5362,201305362,2013,Rhein-Erft-Kreis,47.400000000000006,3.4000000000000004,Nordrhein-Westfalen,NW
5362,201705362,2017,Rhein-Erft-Kreis,39.300000000000004,4.7,Nordrhein-Westfalen,NW
5366,200905366,2009,Kreis Euskirchen,28.700000000000003,5.300000000000001,Nordrhein-Westfalen,NW
5366,201305366,2013,Kreis Euskirchen,46.0,3.2,Nordrhein-Westfalen,NW
5366,201705366,2017,Kreis Euskirchen,39.0,4.800000000000001,Nordrhein-Westfalen,NW
5370,200905370,2009,Kreis Heinsberg,28.5,7.1000000000000005,Nordrhein-Westfalen,NW
5370,201305370,2013,Kreis Heinsberg,45.300000000000004,4.3,Nordrhein-Westfalen,NW
5370,201705370,2017,Kreis Heinsberg,38.300000000000004,4.3,Nordrhein-Westfalen,NW
5374,200905374,2009,Oberbergischer Kreis,26.400000000000002,5.9,Nordrhein-Westfalen,NW
5374,201305374,2013,Oberbergischer Kreis,44.0,3.7,Nordrhein-Westfalen,NW
