,YearSchluessel,Year,Stadt-/Landkreis,Beschäftigtenquote in %,LAND_NAME,LAND_ABK
3453,201703453,2017,Landkreis Cloppenburg,60.300000000000004,Niedersachsen,NI
3453,201303453,2013,Landkreis Cloppenburg,54.800000000000004,Niedersachsen,NI
3453,200903453,2009,Landkreis Cloppenburg,50.800000000000004,Niedersachsen,NI
3454,201703454,2017,Landkreis Emsland,58.900000000000006,Niedersachsen,NI
3454,201303454,2013,Landkreis Emsland,53.300000000000004,Niedersachsen,NI
3454,200903454,2009,Landkreis Emsland,48.7,Niedersachsen,NI
3455,201703455,2017,Landkreis Friesland,57.7,Niedersachsen,NI
3455,201303455,2013,Landkreis Friesland,53.5,Niedersachsen,NI
3455,200903455,2009,Landkreis Friesland,48.1,Niedersachsen,NI
3456,201703456,2017,Landkreis Grafschaft Bentheim,57.800000000000004,Niedersachsen,NI
3456,201303456,2013,Landkreis Grafschaft Bentheim,52.400000000000006,Niedersachsen,NI
3456,200903456,2009,Landkreis Grafschaft Bentheim,46.900000000000006,Niedersachsen,NI
3457,201703457,2017,Landkreis Leer,54.400000000000006,Niedersachsen,NI
3457,201303457,2013,Landkreis Leer,50.0,Niedersachsen,NI
3457,200903457,2009,Landkreis Leer,45.300000000000004,Niedersachsen,NI
3458,201703458,2017,Landkreis Oldenburg (Land),62.800000000000004,Niedersachsen,NI
3458,201303458,2013,Landkreis Oldenburg (Land),57.400000000000006,Niedersachsen,NI
3458,200903458,2009,Landkreis Oldenburg (Land),51.7,Niedersachsen,NI
3459,201703459,2017,Landkreis Osnabrück (Land),63.5,Niedersachsen,NI
3459,201303459,2013,Landkreis Osnabrück (Land),59.1,Niedersachsen,NI
3459,200903459,2009,Landkreis Osnabrück (Land),54.0,Niedersachsen,NI
3460,201703460,2017,Landkreis Vechta,64.5,Niedersachsen,NI
3460,201303460,2013,Landkreis Vechta,60.7,Niedersachsen,NI
3460,200903460,2009,Landkreis Vechta,54.2,Niedersachsen,NI
3461,201703461,2017,Landkreis Wesermarsch,58.800000000000004,Niedersachsen,NI
3461,201303461,2013,Landkreis Wesermarsch,54.5,Niedersachsen,NI
3461,200903461,2009,Landkreis Wesermarsch,50.7,Niedersachsen,NI
3462,201703462,2017,Landkreis Wittmund,56.6,Niedersachsen,NI
3462,201303462,2013,Landkreis Wittmund,51.6,Niedersachsen,NI
3462,200903462,2009,Landkreis Wittmund,45.7,Niedersachsen,NI
4011,201704011,2017,Bremen,53.7,Bremen,HB
4011,201304011,2013,Bremen,49.900000000000006,Bremen,HB
4011,200904011,2009,Bremen,46.2,Bremen,HB
4012,201704012,2017,Bremerhaven,54.2,Bremen,HB
4012,201304012,2013,Bremerhaven,51.2,Bremen,HB
4012,200904012,2009,Bremerhaven,44.900000000000006,Bremen,HB
5111,201705111,2017,Düsseldorf,58.300000000000004,Nordrhein-Westfalen,NW
5111,201305111,2013,Düsseldorf,53.6,Nordrhein-Westfalen,NW
5111,200905111,2009,Düsseldorf,50.1,Nordrhein-Westfalen,NW
5112,201705112,2017,Duisburg,50.7,Nordrhein-Westfalen,NW
5112,201305112,2013,Duisburg,48.300000000000004,Nordrhein-Westfalen,NW
5112,200905112,2009,Duisburg,45.900000000000006,Nordrhein-Westfalen,NW
5113,201705113,2017,Essen,52.0,Nordrhein-Westfalen,NW
5113,201305113,2013,Essen,49.2,Nordrhein-Westfalen,NW
5113,200905113,2009,Essen,45.7,Nordrhein-Westfalen,NW
5114,201705114,2017,Krefeld,54.7,Nordrhein-Westfalen,NW
5114,201305114,2013,Krefeld,51.2,Nordrhein-Westfalen,NW
5114,200905114,2009,Krefeld,45.400000000000006,Nordrhein-Westfalen,NW
5116,201705116,2017,Mönchengladbach,54.300000000000004,Nordrhein-Westfalen,NW
5116,201305116,2013,Mönchengladbach,50.0,Nordrhein-Westfalen,NW
5116,200905116,2009,Mönchengladbach,46.900000000000006,Nordrhein-Westfalen,NW
5117,201705117,2017,Mülheim an der Ruhr,53.800000000000004,Nordrhein-Westfalen,NW
5117,201305117,2013,Mülheim an der Ruhr,51.800000000000004,Nordrhein-Westfalen,NW
5117,200905117,2009,Mülheim an der Ruhr,49.0,Nordrhein-Westfalen,NW
5119,201705119,2017,Oberhausen,52.5,Nordrhein-Westfalen,NW
5119,201305119,2013,Oberhausen,49.400000000000006,Nordrhein-Westfalen,NW
5119,200905119,2009,Oberhausen,46.7,Nordrhein-Westfalen,NW
5120,201705120,2017,Remscheid,57.2,Nordrhein-Westfalen,NW
5120,201305120,2013,Remscheid,54.400000000000006,Nordrhein-Westfalen,NW
5120,200905120,2009,Remscheid,49.5,Nordrhein-Westfalen,NW
5122,201705122,2017,Solingen,58.400000000000006,Nordrhein-Westfalen,NW
5122,201305122,2013,Solingen,55.7,Nordrhein-Westfalen,NW
5122,200905122,2009,Solingen,50.2,Nordrhein-Westfalen,NW
5124,201705124,2017,Wuppertal,53.6,Nordrhein-Westfalen,NW
5124,201305124,2013,Wuppertal,50.300000000000004,Nordrhein-Westfalen,NW
5124,200905124,2009,Wuppertal,46.2,Nordrhein-Westfalen,NW
5154,201705154,2017,Kreis Kleve,53.900000000000006,Nordrhein-Westfalen,NW
5154,201305154,2013,Kreis Kleve,49.900000000000006,Nordrhein-Westfalen,NW
5154,200905154,2009,Kreis Kleve,45.800000000000004,Nordrhein-Westfalen,NW
5158,201705158,2017,Kreis Mettmann,59.7,Nordrhein-Westfalen,NW
5158,201305158,2013,Kreis Mettmann,56.7,Nordrhein-Westfalen,NW
5158,200905158,2009,Kreis Mettmann,51.400000000000006,Nordrhein-Westfalen,NW
5162,201705162,2017,Rhein-Kreis Neuss,59.400000000000006,Nordrhein-Westfalen,NW
5162,201305162,2013,Rhein-Kreis Neuss,55.5,Nordrhein-Westfalen,NW
5162,200905162,2009,Rhein-Kreis Neuss,51.400000000000006,Nordrhein-Westfalen,NW
5166,201705166,2017,Kreis Viersen,55.900000000000006,Nordrhein-Westfalen,NW
5166,201305166,2013,Kreis Viersen,52.7,Nordrhein-Westfalen,NW
5166,200905166,2009,Kreis Viersen,49.400000000000006,Nordrhein-Westfalen,NW
5170,201705170,2017,Kreis Wesel,55.1,Nordrhein-Westfalen,NW
5170,201305170,2013,Kreis Wesel,51.900000000000006,Nordrhein-Westfalen,NW
5170,200905170,2009,Kreis Wesel,48.1,Nordrhein-Westfalen,NW
5314,201705314,2017,Bonn,52.400000000000006,Nordrhein-Westfalen,NW
5314,201305314,2013,Bonn,50.1,Nordrhein-Westfalen,NW
5314,200905314,2009,Bonn,44.900000000000006,Nordrhein-Westfalen,NW
5315,201705315,2017,Köln,54.400000000000006,Nordrhein-Westfalen,NW
5315,201305315,2013,Köln,51.5,Nordrhein-Westfalen,NW
5315,200905315,2009,Köln,48.2,Nordrhein-Westfalen,NW
5316,201705316,2017,Leverkusen,58.400000000000006,Nordrhein-Westfalen,NW
5316,201305316,2013,Leverkusen,55.5,Nordrhein-Westfalen,NW
5316,200905316,2009,Leverkusen,52.300000000000004,Nordrhein-Westfalen,NW
5334,201705334,2017,Aachen,52.900000000000006,Nordrhein-Westfalen,NW
5334,201305334,2013,Aachen,48.7,Nordrhein-Westfalen,NW
5334,200905334,2009,Aachen,,Nordrhein-Westfalen,NW
5354,201705354,2017,Kreis Aachen,,Nordrhein-Westfalen,NW
5354,201305354,2013,Kreis Aachen,,Nordrhein-Westfalen,NW
5354,200905354,2009,Kreis Aachen,47.6,Nordrhein-Westfalen,NW
5358,201705358,2017,Kreis Düren,56.0,Nordrhein-Westfalen,NW
5358,201305358,2013,Kreis Düren,51.900000000000006,Nordrhein-Westfalen,NW
