,YearSchluessel,Year,Stadt-/Landkreis,Anteil männl. Schulabg. mit allgem. Hochschulreife in %,Anteil männl. Schulabgänger ohne Hauptschulabschl. In %,Anteil männl. Schulabgänger mit Hauptschulabschl. In %,LAND_NAME,LAND_ABK
3352,201303352,2013,Landkreis Cuxhaven,49.400000000000006,62.2,58.7,Niedersachsen,NI
3352,201703352,2017,Landkreis Cuxhaven,50.400000000000006,61.6,56.6,Niedersachsen,NI
3353,200903353,2009,Landkreis Harburg,39.900000000000006,71.0,59.800000000000004,Niedersachsen,NI
3353,201303353,2013,Landkreis Harburg,43.5,60.300000000000004,58.800000000000004,Niedersachsen,NI
3353,201703353,2017,Landkreis Harburg,45.1,54.1,69.5,Niedersachsen,NI
3354,200903354,2009,Landkreis Lüchow-Dannenberg,44.1,66.7,60.300000000000004,Niedersachsen,NI
3354,201303354,2013,Landkreis Lüchow-Dannenberg,24.8,60.7,54.7,Niedersachsen,NI
3354,201703354,2017,Landkreis Lüchow-Dannenberg,48.800000000000004,69.0,58.5,Niedersachsen,NI
3355,200903355,2009,Landkreis Lüneburg,40.1,64.4,63.7,Niedersachsen,NI
3355,201303355,2013,Landkreis Lüneburg,37.6,57.900000000000006,57.6,Niedersachsen,NI
3355,201703355,2017,Landkreis Lüneburg,46.1,65.7,61.800000000000004,Niedersachsen,NI
3356,200903356,2009,Landkreis Osterholz,49.5,61.400000000000006,64.8,Niedersachsen,NI
3356,201303356,2013,Landkreis Osterholz,48.400000000000006,68.0,56.2,Niedersachsen,NI
3356,201703356,2017,Landkreis Osterholz,47.2,64.3,60.6,Niedersachsen,NI
3357,200903357,2009,Landkreis Rotenburg (Wümme),40.900000000000006,50.300000000000004,56.800000000000004,Niedersachsen,NI
3357,201303357,2013,Landkreis Rotenburg (Wümme),41.5,60.0,57.0,Niedersachsen,NI
3357,201703357,2017,Landkreis Rotenburg (Wümme),45.800000000000004,70.3,63.5,Niedersachsen,NI
3358,200903358,2009,Landkreis Heidekreis,43.400000000000006,62.300000000000004,58.6,Niedersachsen,NI
3358,201303358,2013,Landkreis Heidekreis,41.300000000000004,57.0,62.1,Niedersachsen,NI
3358,201703358,2017,Landkreis Heidekreis,42.400000000000006,52.6,65.7,Niedersachsen,NI
3359,200903359,2009,Landkreis Stade,40.300000000000004,60.800000000000004,61.1,Niedersachsen,NI
3359,201303359,2013,Landkreis Stade,44.6,62.5,61.300000000000004,Niedersachsen,NI
3359,201703359,2017,Landkreis Stade,41.1,50.5,58.400000000000006,Niedersachsen,NI
3360,200903360,2009,Landkreis Uelzen,38.900000000000006,60.0,51.800000000000004,Niedersachsen,NI
3360,201303360,2013,Landkreis Uelzen,37.6,68.60000000000001,58.2,Niedersachsen,NI
3360,201703360,2017,Landkreis Uelzen,45.1,63.6,55.1,Niedersachsen,NI
3361,200903361,2009,Landkreis Verden,42.2,66.7,56.5,Niedersachsen,NI
3361,201303361,2013,Landkreis Verden,46.5,56.800000000000004,56.800000000000004,Niedersachsen,NI
3361,201703361,2017,Landkreis Verden,48.5,72.4,59.900000000000006,Niedersachsen,NI
3401,200903401,2009,Delmenhorst,41.6,58.5,45.300000000000004,Niedersachsen,NI
3401,201303401,2013,Delmenhorst,37.300000000000004,57.6,52.800000000000004,Niedersachsen,NI
3401,201703401,2017,Delmenhorst,43.900000000000006,69.0,50.300000000000004,Niedersachsen,NI
3402,200903402,2009,Emden,40.6,45.2,58.300000000000004,Niedersachsen,NI
3402,201303402,2013,Emden,54.0,54.7,64.60000000000001,Niedersachsen,NI
3402,201703402,2017,Emden,48.2,59.6,62.300000000000004,Niedersachsen,NI
3403,200903403,2009,Oldenburg,43.2,63.5,54.900000000000006,Niedersachsen,NI
3403,201303403,2013,Oldenburg,45.300000000000004,57.0,52.900000000000006,Niedersachsen,NI
3403,201703403,2017,Oldenburg,43.800000000000004,60.400000000000006,56.5,Niedersachsen,NI
3404,200903404,2009,Osnabrück,42.400000000000006,61.2,55.7,Niedersachsen,NI
3404,201303404,2013,Osnabrück,43.2,56.1,56.6,Niedersachsen,NI
3404,201703404,2017,Osnabrück,43.800000000000004,60.400000000000006,60.400000000000006,Niedersachsen,NI
3405,200903405,2009,Wilhelmshaven,43.1,61.5,57.900000000000006,Niedersachsen,NI
3405,201303405,2013,Wilhelmshaven,45.0,63.800000000000004,59.400000000000006,Niedersachsen,NI
3405,201703405,2017,Wilhelmshaven,43.0,58.6,63.5,Niedersachsen,NI
3451,200903451,2009,Landkreis Ammerland,44.0,65.9,57.7,Niedersachsen,NI
3451,201303451,2013,Landkreis Ammerland,39.6,63.900000000000006,59.800000000000004,Niedersachsen,NI
3451,201703451,2017,Landkreis Ammerland,46.6,62.0,61.2,Niedersachsen,NI
3452,200903452,2009,Landkreis Aurich,43.0,68.3,60.1,Niedersachsen,NI
3452,201303452,2013,Landkreis Aurich,47.6,65.0,56.6,Niedersachsen,NI
3452,201703452,2017,Landkreis Aurich,46.0,64.0,60.300000000000004,Niedersachsen,NI
3453,200903453,2009,Landkreis Cloppenburg,35.4,67.2,55.800000000000004,Niedersachsen,NI
3453,201303453,2013,Landkreis Cloppenburg,41.2,62.5,58.6,Niedersachsen,NI
3453,201703453,2017,Landkreis Cloppenburg,42.1,64.60000000000001,62.800000000000004,Niedersachsen,NI
3454,200903454,2009,Landkreis Emsland,42.300000000000004,68.7,63.400000000000006,Niedersachsen,NI
3454,201303454,2013,Landkreis Emsland,41.6,62.900000000000006,59.7,Niedersachsen,NI
3454,201703454,2017,Landkreis Emsland,40.6,60.1,62.0,Niedersachsen,NI
3455,200903455,2009,Landkreis Friesland,41.0,64.4,59.6,Niedersachsen,NI
3455,201303455,2013,Landkreis Friesland,47.2,71.10000000000001,64.7,Niedersachsen,NI
3455,201703455,2017,Landkreis Friesland,49.300000000000004,69.10000000000001,70.3,Niedersachsen,NI
3456,200903456,2009,Landkreis Grafschaft Bentheim,39.2,63.0,60.400000000000006,Niedersachsen,NI
3456,201303456,2013,Landkreis Grafschaft Bentheim,37.800000000000004,55.6,59.900000000000006,Niedersachsen,NI
3456,201703456,2017,Landkreis Grafschaft Bentheim,41.7,54.400000000000006,60.900000000000006,Niedersachsen,NI
3457,200903457,2009,Landkreis Leer,44.800000000000004,61.0,55.0,Niedersachsen,NI
3457,201303457,2013,Landkreis Leer,43.800000000000004,59.300000000000004,56.2,Niedersachsen,NI
3457,201703457,2017,Landkreis Leer,43.900000000000006,57.0,61.7,Niedersachsen,NI
3458,200903458,2009,Landkreis Oldenburg (Land),39.1,61.7,55.400000000000006,Niedersachsen,NI
3458,201303458,2013,Landkreis Oldenburg (Land),42.2,60.800000000000004,56.5,Niedersachsen,NI
3458,201703458,2017,Landkreis Oldenburg (Land),46.6,68.4,60.1,Niedersachsen,NI
3459,200903459,2009,Landkreis Osnabrück (Land),43.2,63.2,58.6,Niedersachsen,NI
3459,201303459,2013,Landkreis Osnabrück (Land),45.400000000000006,58.7,61.2,Niedersachsen,NI
3459,201703459,2017,Landkreis Osnabrück (Land),48.6,69.9,63.2,Niedersachsen,NI
3460,200903460,2009,Landkreis Vechta,35.800000000000004,70.3,64.9,Niedersachsen,NI
3460,201303460,2013,Landkreis Vechta,42.900000000000006,56.800000000000004,60.1,Niedersachsen,NI
3460,201703460,2017,Landkreis Vechta,39.2,67.3,63.5,Niedersachsen,NI
