,YearSchluessel,Year,Stadt-/Landkreis,Altenquotient,Jugendquotient,Gesamtquotient,LAND_NAME,LAND_ABK
3155,200903155,2009,Landkreis Northeim,41.7,33.1,74.8,Niedersachsen,NI
3155,201303155,2013,Landkreis Northeim,41.5,30.400000000000002,72.0,Niedersachsen,NI
3155,201703155,2017,Landkreis Northeim,44.0,30.200000000000003,74.2,Niedersachsen,NI
3156,199503156,1995,Landkreis Osterode am Harz,34.800000000000004,33.300000000000004,68.10000000000001,Niedersachsen,NI
3156,200003156,2000,Landkreis Osterode am Harz,37.7,34.1,71.7,Niedersachsen,NI
3156,200503156,2005,Landkreis Osterode am Harz,43.800000000000004,33.7,77.60000000000001,Niedersachsen,NI
3156,200903156,2009,Landkreis Osterode am Harz,47.7,32.0,79.7,Niedersachsen,NI
3156,201303156,2013,Landkreis Osterode am Harz,48.6,29.0,77.7,Niedersachsen,NI
3156,201703156,2017,Landkreis Osterode am Harz,,,,Niedersachsen,NI
3157,199503157,1995,Landkreis Peine,26.400000000000002,34.7,61.1,Niedersachsen,NI
3157,200003157,2000,Landkreis Peine,27.900000000000002,36.9,64.7,Niedersachsen,NI
3157,200503157,2005,Landkreis Peine,33.0,37.6,70.60000000000001,Niedersachsen,NI
3157,200903157,2009,Landkreis Peine,35.800000000000004,36.1,71.9,Niedersachsen,NI
3157,201303157,2013,Landkreis Peine,35.6,33.800000000000004,69.4,Niedersachsen,NI
3157,201703157,2017,Landkreis Peine,36.4,33.800000000000004,70.2,Niedersachsen,NI
3158,199503158,1995,Landkreis Wolfenbüttel,26.5,33.2,59.7,Niedersachsen,NI
3158,200003158,2000,Landkreis Wolfenbüttel,27.900000000000002,34.800000000000004,62.7,Niedersachsen,NI
3158,200503158,2005,Landkreis Wolfenbüttel,34.1,35.7,69.8,Niedersachsen,NI
3158,200903158,2009,Landkreis Wolfenbüttel,38.2,33.9,72.10000000000001,Niedersachsen,NI
3158,201303158,2013,Landkreis Wolfenbüttel,38.800000000000004,31.3,70.10000000000001,Niedersachsen,NI
3158,201703158,2017,Landkreis Wolfenbüttel,40.1,30.8,70.9,Niedersachsen,NI
3159,199503159,1995,Landkreis Göttingen,,,,Niedersachsen,NI
3159,200003159,2000,Landkreis Göttingen,,,,Niedersachsen,NI
3159,200503159,2005,Landkreis Göttingen,,,,Niedersachsen,NI
3159,200903159,2009,Landkreis Göttingen,,,,Niedersachsen,NI
3159,201303159,2013,Landkreis Göttingen,,,,Niedersachsen,NI
3159,201703159,2017,Landkreis Göttingen,37.1,29.1,66.3,Niedersachsen,NI
3241,199503241,1995,Hannover,25.6,29.200000000000003,54.800000000000004,Niedersachsen,NI
3241,200003241,2000,Hannover,27.400000000000002,30.400000000000002,57.7,Niedersachsen,NI
3241,200503241,2005,Hannover,32.2,30.8,63.1,Niedersachsen,NI
3241,200903241,2009,Hannover,34.9,30.400000000000002,65.2,Niedersachsen,NI
3241,201303241,2013,Hannover,34.6,30.0,64.7,Niedersachsen,NI
3241,201703241,2017,Hannover,34.9,30.700000000000003,65.60000000000001,Niedersachsen,NI
3251,199503251,1995,Landkreis Diepholz,24.900000000000002,35.0,59.900000000000006,Niedersachsen,NI
3251,200003251,2000,Landkreis Diepholz,27.0,36.4,63.5,Niedersachsen,NI
3251,200503251,2005,Landkreis Diepholz,32.800000000000004,36.9,69.7,Niedersachsen,NI
3251,200903251,2009,Landkreis Diepholz,35.6,35.1,70.7,Niedersachsen,NI
3251,201303251,2013,Landkreis Diepholz,36.2,32.7,68.9,Niedersachsen,NI
3251,201703251,2017,Landkreis Diepholz,37.7,32.300000000000004,70.0,Niedersachsen,NI
3252,199503252,1995,Landkreis Hameln-Pyrmont,33.1,33.2,66.3,Niedersachsen,NI
3252,200003252,2000,Landkreis Hameln-Pyrmont,34.800000000000004,34.7,69.5,Niedersachsen,NI
3252,200503252,2005,Landkreis Hameln-Pyrmont,40.400000000000006,35.4,75.8,Niedersachsen,NI
3252,200903252,2009,Landkreis Hameln-Pyrmont,43.2,33.7,77.0,Niedersachsen,NI
3252,201303252,2013,Landkreis Hameln-Pyrmont,43.1,30.6,73.7,Niedersachsen,NI
3252,201703252,2017,Landkreis Hameln-Pyrmont,44.7,31.3,75.9,Niedersachsen,NI
3254,199503254,1995,Landkreis Hildesheim,28.6,33.4,62.0,Niedersachsen,NI
3254,200003254,2000,Landkreis Hildesheim,30.200000000000003,34.6,64.8,Niedersachsen,NI
3254,200503254,2005,Landkreis Hildesheim,35.7,34.800000000000004,70.5,Niedersachsen,NI
3254,200903254,2009,Landkreis Hildesheim,38.400000000000006,33.2,71.60000000000001,Niedersachsen,NI
3254,201303254,2013,Landkreis Hildesheim,38.300000000000004,30.8,69.10000000000001,Niedersachsen,NI
3254,201703254,2017,Landkreis Hildesheim,39.400000000000006,30.3,69.7,Niedersachsen,NI
3255,199503255,1995,Landkreis Holzminden,32.800000000000004,35.9,68.60000000000001,Niedersachsen,NI
3255,200003255,2000,Landkreis Holzminden,35.4,36.800000000000004,72.2,Niedersachsen,NI
3255,200503255,2005,Landkreis Holzminden,42.300000000000004,36.800000000000004,79.10000000000001,Niedersachsen,NI
3255,200903255,2009,Landkreis Holzminden,44.7,34.0,78.7,Niedersachsen,NI
3255,201303255,2013,Landkreis Holzminden,43.800000000000004,31.0,74.8,Niedersachsen,NI
3255,201703255,2017,Landkreis Holzminden,45.900000000000006,30.5,76.3,Niedersachsen,NI
3256,199503256,1995,Landkreis Nienburg (Weser),27.6,38.300000000000004,65.9,Niedersachsen,NI
3256,200003256,2000,Landkreis Nienburg (Weser),29.6,39.400000000000006,69.0,Niedersachsen,NI
3256,200503256,2005,Landkreis Nienburg (Weser),34.5,39.1,73.60000000000001,Niedersachsen,NI
3256,200903256,2009,Landkreis Nienburg (Weser),35.9,36.1,72.0,Niedersachsen,NI
3256,201303256,2013,Landkreis Nienburg (Weser),36.1,32.9,69.0,Niedersachsen,NI
3256,201703256,2017,Landkreis Nienburg (Weser),37.4,32.9,70.3,Niedersachsen,NI
3257,199503257,1995,Landkreis Schaumburg,29.700000000000003,33.9,63.6,Niedersachsen,NI
3257,200003257,2000,Landkreis Schaumburg,31.1,35.5,66.60000000000001,Niedersachsen,NI
3257,200503257,2005,Landkreis Schaumburg,37.2,36.0,73.3,Niedersachsen,NI
3257,200903257,2009,Landkreis Schaumburg,40.300000000000004,34.4,74.7,Niedersachsen,NI
3257,201303257,2013,Landkreis Schaumburg,40.900000000000006,31.3,72.2,Niedersachsen,NI
3257,201703257,2017,Landkreis Schaumburg,42.300000000000004,31.5,73.8,Niedersachsen,NI
3351,199503351,1995,Landkreis Celle,28.5,38.1,66.7,Niedersachsen,NI
3351,200003351,2000,Landkreis Celle,29.700000000000003,38.5,68.2,Niedersachsen,NI
3351,200503351,2005,Landkreis Celle,34.800000000000004,38.5,73.3,Niedersachsen,NI
3351,200903351,2009,Landkreis Celle,38.2,36.2,74.4,Niedersachsen,NI
3351,201303351,2013,Landkreis Celle,38.7,33.5,72.2,Niedersachsen,NI
3351,201703351,2017,Landkreis Celle,40.400000000000006,34.0,74.4,Niedersachsen,NI
3352,199503352,1995,Landkreis Cuxhaven,28.1,35.0,63.1,Niedersachsen,NI
3352,200003352,2000,Landkreis Cuxhaven,30.3,36.6,67.0,Niedersachsen,NI
3352,200503352,2005,Landkreis Cuxhaven,36.7,36.6,73.3,Niedersachsen,NI
3352,200903352,2009,Landkreis Cuxhaven,40.2,35.2,75.3,Niedersachsen,NI
3352,201303352,2013,Landkreis Cuxhaven,41.300000000000004,32.7,74.0,Niedersachsen,NI
3352,201703352,2017,Landkreis Cuxhaven,44.2,32.6,76.9,Niedersachsen,NI
3353,199503353,1995,Landkreis Harburg,21.700000000000003,32.0,53.7,Niedersachsen,NI
3353,200003353,2000,Landkreis Harburg,23.900000000000002,34.1,58.0,Niedersachsen,NI
3353,200503353,2005,Landkreis Harburg,31.1,36.0,67.10000000000001,Niedersachsen,NI
3353,200903353,2009,Landkreis Harburg,35.6,35.1,70.7,Niedersachsen,NI
3353,201303353,2013,Landkreis Harburg,36.800000000000004,33.800000000000004,70.60000000000001,Niedersachsen,NI
3353,201703353,2017,Landkreis Harburg,38.1,33.2,71.3,Niedersachsen,NI
3354,199503354,1995,Landkreis Lüchow-Dannenberg,34.4,37.0,71.4,Niedersachsen,NI
3354,200003354,2000,Landkreis Lüchow-Dannenberg,36.2,37.300000000000004,73.5,Niedersachsen,NI
3354,200503354,2005,Landkreis Lüchow-Dannenberg,43.2,37.5,80.80000000000001,Niedersachsen,NI
3354,200903354,2009,Landkreis Lüchow-Dannenberg,47.1,34.6,81.7,Niedersachsen,NI
3354,201303354,2013,Landkreis Lüchow-Dannenberg,47.1,31.0,78.10000000000001,Niedersachsen,NI
3354,201703354,2017,Landkreis Lüchow-Dannenberg,50.0,31.3,81.30000000000001,Niedersachsen,NI
3355,199503355,1995,Landkreis Lüneburg,25.200000000000003,33.2,58.400000000000006,Niedersachsen,NI
3355,200003355,2000,Landkreis Lüneburg,25.200000000000003,34.4,59.6,Niedersachsen,NI
3355,200503355,2005,Landkreis Lüneburg,28.400000000000002,34.300000000000004,62.800000000000004,Niedersachsen,NI
3355,200903355,2009,Landkreis Lüneburg,30.8,33.6,64.5,Niedersachsen,NI
3355,201303355,2013,Landkreis Lüneburg,31.400000000000002,32.7,64.10000000000001,Niedersachsen,NI
3355,201703355,2017,Landkreis Lüneburg,32.7,32.5,65.2,Niedersachsen,NI
3356,199503356,1995,Landkreis Osterholz,21.900000000000002,33.800000000000004,55.7,Niedersachsen,NI
3356,200003356,2000,Landkreis Osterholz,24.400000000000002,35.5,59.900000000000006,Niedersachsen,NI
3356,200503356,2005,Landkreis Osterholz,31.400000000000002,36.4,67.8,Niedersachsen,NI
3356,200903356,2009,Landkreis Osterholz,35.6,35.0,70.60000000000001,Niedersachsen,NI
3356,201303356,2013,Landkreis Osterholz,37.6,32.6,70.2,Niedersachsen,NI
3356,201703356,2017,Landkreis Osterholz,40.2,32.800000000000004,73.0,Niedersachsen,NI
3357,199503357,1995,Landkreis Rotenburg (Wümme),24.5,37.800000000000004,62.300000000000004,Niedersachsen,NI
3357,200003357,2000,Landkreis Rotenburg (Wümme),25.5,40.1,65.60000000000001,Niedersachsen,NI
3357,200503357,2005,Landkreis Rotenburg (Wümme),30.5,40.5,71.0,Niedersachsen,NI
3357,200903357,2009,Landkreis Rotenburg (Wümme),32.800000000000004,38.0,70.9,Niedersachsen,NI
3357,201303357,2013,Landkreis Rotenburg (Wümme),33.1,34.300000000000004,67.4,Niedersachsen,NI
3357,201703357,2017,Landkreis Rotenburg (Wümme),35.1,33.1,68.2,Niedersachsen,NI
3358,199503358,1995,Landkreis Heidekreis,27.1,36.800000000000004,63.800000000000004,Niedersachsen,NI
3358,200003358,2000,Landkreis Heidekreis,28.6,38.0,66.60000000000001,Niedersachsen,NI
3358,200503358,2005,Landkreis Heidekreis,33.800000000000004,38.300000000000004,72.10000000000001,Niedersachsen,NI
3358,200903358,2009,Landkreis Heidekreis,36.800000000000004,36.4,73.2,Niedersachsen,NI
3358,201303358,2013,Landkreis Heidekreis,37.2,33.300000000000004,70.5,Niedersachsen,NI
3358,201703358,2017,Landkreis Heidekreis,38.1,32.7,70.7,Niedersachsen,NI
3359,199503359,1995,Landkreis Stade,22.200000000000003,36.4,58.6,Niedersachsen,NI
3359,200003359,2000,Landkreis Stade,23.8,38.1,61.900000000000006,Niedersachsen,NI
3359,200503359,2005,Landkreis Stade,29.700000000000003,38.400000000000006,68.0,Niedersachsen,NI
3359,200903359,2009,Landkreis Stade,32.800000000000004,36.5,69.3,Niedersachsen,NI
3359,201303359,2013,Landkreis Stade,33.800000000000004,33.800000000000004,67.60000000000001,Niedersachsen,NI
3359,201703359,2017,Landkreis Stade,36.1,33.9,70.0,Niedersachsen,NI
3360,199503360,1995,Landkreis Uelzen,32.2,34.2,66.5,Niedersachsen,NI
3360,200003360,2000,Landkreis Uelzen,34.0,35.6,69.60000000000001,Niedersachsen,NI
