,YearSchluessel,Year,Stadt-/Landkreis,BIP je Einwohner in EUR,LAND_NAME,LAND_ABK
3458,200903458,2009,Landkreis Oldenburg (Land),17635.0,Niedersachsen,NI
3458,201303458,2013,Landkreis Oldenburg (Land),21462.0,Niedersachsen,NI
3458,201603458,2016,Landkreis Oldenburg (Land),22689.0,Niedersachsen,NI
3459,200003459,2000,Landkreis Osnabrück (Land),17966.0,Niedersachsen,NI
3459,200503459,2005,Landkreis Osnabrück (Land),20304.0,Niedersachsen,NI
3459,200903459,2009,Landkreis Osnabrück (Land),21739.0,Niedersachsen,NI
3459,201303459,2013,Landkreis Osnabrück (Land),26514.0,Niedersachsen,NI
3459,201603459,2016,Landkreis Osnabrück (Land),28717.0,Niedersachsen,NI
3460,200003460,2000,Landkreis Vechta,25859.0,Niedersachsen,NI
3460,200503460,2005,Landkreis Vechta,28542.0,Niedersachsen,NI
3460,200903460,2009,Landkreis Vechta,31788.0,Niedersachsen,NI
3460,201303460,2013,Landkreis Vechta,41268.0,Niedersachsen,NI
3460,201603460,2016,Landkreis Vechta,42430.0,Niedersachsen,NI
3461,200003461,2000,Landkreis Wesermarsch,23183.0,Niedersachsen,NI
3461,200503461,2005,Landkreis Wesermarsch,26569.0,Niedersachsen,NI
3461,200903461,2009,Landkreis Wesermarsch,30340.0,Niedersachsen,NI
3461,201303461,2013,Landkreis Wesermarsch,29393.0,Niedersachsen,NI
3461,201603461,2016,Landkreis Wesermarsch,34866.0,Niedersachsen,NI
3462,200003462,2000,Landkreis Wittmund,15575.0,Niedersachsen,NI
3462,200503462,2005,Landkreis Wittmund,16442.0,Niedersachsen,NI
3462,200903462,2009,Landkreis Wittmund,18622.0,Niedersachsen,NI
3462,201303462,2013,Landkreis Wittmund,22636.0,Niedersachsen,NI
3462,201603462,2016,Landkreis Wittmund,25043.0,Niedersachsen,NI
4011,200004011,2000,Bremen,36116.0,Bremen,HB
4011,200504011,2005,Bremen,40148.0,Bremen,HB
4011,200904011,2009,Bremen,39608.0,Bremen,HB
4011,201304011,2013,Bremen,46699.0,Bremen,HB
4011,201604011,2016,Bremen,49439.0,Bremen,HB
4012,200004012,2000,Bremerhaven,24658.0,Bremen,HB
4012,200504012,2005,Bremerhaven,29174.0,Bremen,HB
4012,200904012,2009,Bremerhaven,33189.0,Bremen,HB
4012,201304012,2013,Bremerhaven,33143.0,Bremen,HB
4012,201604012,2016,Bremerhaven,37802.0,Bremen,HB
5111,200005111,2000,Düsseldorf,60316.0,Nordrhein-Westfalen,NW
5111,200505111,2005,Düsseldorf,65829.0,Nordrhein-Westfalen,NW
5111,200905111,2009,Düsseldorf,70796.0,Nordrhein-Westfalen,NW
5111,201305111,2013,Düsseldorf,74812.0,Nordrhein-Westfalen,NW
5111,201605111,2016,Düsseldorf,79619.0,Nordrhein-Westfalen,NW
5112,200005112,2000,Duisburg,24755.0,Nordrhein-Westfalen,NW
5112,200505112,2005,Duisburg,28850.0,Nordrhein-Westfalen,NW
5112,200905112,2009,Duisburg,29907.0,Nordrhein-Westfalen,NW
5112,201305112,2013,Duisburg,32900.0,Nordrhein-Westfalen,NW
5112,201605112,2016,Duisburg,33634.0,Nordrhein-Westfalen,NW
5113,200005113,2000,Essen,30019.0,Nordrhein-Westfalen,NW
