,YearSchluessel,Year,Stadt-/Landkreis,Arbeitslosenquote in %,Anteil Arbeitslose 15-24 Jahre an Arbeitsl. insg. In %,Anteil Arbeitslose 55-64 Jahre an Arbeitsl. insg. In %,Anteil Langzeitarbeitslose an Arbeitslosen insg. In %,Anteil arbeitslose Ausländer an Arbeitslosen insg. In %,LAND_NAME,LAND_ABK
3356,200503356,2005,Landkreis Osterholz,9.4,14.600000000000001,14.5,,8.9,Niedersachsen,NI
3356,200903356,2009,Landkreis Osterholz,5.6000000000000005,11.700000000000001,14.8,90.0,9.8,Niedersachsen,NI
3356,201303356,2013,Landkreis Osterholz,4.5,12.200000000000001,18.5,25.400000000000002,13.3,Niedersachsen,NI
3356,201703356,2017,Landkreis Osterholz,3.8000000000000003,12.8,20.1,25.200000000000003,22.0,Niedersachsen,NI
3357,200103357,2001,Landkreis Rotenburg (Wümme),6.5,15.0,14.9,26.0,7.1000000000000005,Niedersachsen,NI
3357,200503357,2005,Landkreis Rotenburg (Wümme),8.8,16.3,10.5,,6.7,Niedersachsen,NI
3357,200903357,2009,Landkreis Rotenburg (Wümme),5.300000000000001,11.0,14.8,27.400000000000002,6.800000000000001,Niedersachsen,NI
3357,201303357,2013,Landkreis Rotenburg (Wümme),4.5,11.3,18.5,30.700000000000003,8.700000000000001,Niedersachsen,NI
3357,201703357,2017,Landkreis Rotenburg (Wümme),4.3,13.0,21.3,37.1,20.3,Niedersachsen,NI
3358,200103358,2001,Landkreis Heidekreis,7.6000000000000005,14.600000000000001,15.200000000000001,26.3,9.0,Niedersachsen,NI
3358,200503358,2005,Landkreis Heidekreis,11.200000000000001,13.8,9.600000000000001,,8.3,Niedersachsen,NI
3358,200903358,2009,Landkreis Heidekreis,8.200000000000001,12.100000000000001,15.9,36.300000000000004,9.8,Niedersachsen,NI
3358,201303358,2013,Landkreis Heidekreis,6.800000000000001,12.5,16.0,33.5,10.0,Niedersachsen,NI
3358,201703358,2017,Landkreis Heidekreis,6.1000000000000005,10.9,19.8,39.6,18.400000000000002,Niedersachsen,NI
3359,200103359,2001,Landkreis Stade,6.6000000000000005,14.3,18.7,23.6,7.5,Niedersachsen,NI
3359,200503359,2005,Landkreis Stade,10.5,14.4,11.8,29.900000000000002,8.200000000000001,Niedersachsen,NI
3359,200903359,2009,Landkreis Stade,7.300000000000001,12.4,13.8,38.300000000000004,8.9,Niedersachsen,NI
3359,201303359,2013,Landkreis Stade,6.1000000000000005,11.700000000000001,18.5,39.1,9.8,Niedersachsen,NI
3359,201703359,2017,Landkreis Stade,5.6000000000000005,11.200000000000001,19.1,37.800000000000004,22.3,Niedersachsen,NI
3360,200103360,2001,Landkreis Uelzen,9.600000000000001,11.0,15.600000000000001,31.5,4.3,Niedersachsen,NI
3360,200503360,2005,Landkreis Uelzen,12.4,12.0,9.5,32.0,5.800000000000001,Niedersachsen,NI
3360,200903360,2009,Landkreis Uelzen,8.200000000000001,11.5,13.700000000000001,29.6,6.4,Niedersachsen,NI
3360,201303360,2013,Landkreis Uelzen,7.1000000000000005,11.100000000000001,17.0,28.6,6.6000000000000005,Niedersachsen,NI
3360,201703360,2017,Landkreis Uelzen,5.800000000000001,10.100000000000001,23.0,33.0,11.8,Niedersachsen,NI
3361,200103361,2001,Landkreis Verden,5.7,13.200000000000001,20.200000000000003,23.1,10.4,Niedersachsen,NI
3361,200503361,2005,Landkreis Verden,8.6,13.3,12.9,,11.200000000000001,Niedersachsen,NI
