,YearSchluessel,Year,Stadt-/Landkreis,Unternehmensinsolvenzen je 10.000 st.-pfl. Untern.,LAND_NAME,LAND_ABK
3458,201303458,2013,Landkreis Oldenburg (Land),97.0,Niedersachsen,NI
3458,201703458,2017,Landkreis Oldenburg (Land),43.900000000000006,Niedersachsen,NI
3459,200903459,2009,Landkreis Osnabrück (Land),97.7,Niedersachsen,NI
3459,201303459,2013,Landkreis Osnabrück (Land),53.5,Niedersachsen,NI
3459,201703459,2017,Landkreis Osnabrück (Land),48.1,Niedersachsen,NI
3460,200903460,2009,Landkreis Vechta,58.900000000000006,Niedersachsen,NI
3460,201303460,2013,Landkreis Vechta,102.10000000000001,Niedersachsen,NI
3460,201703460,2017,Landkreis Vechta,15.8,Niedersachsen,NI
3461,200903461,2009,Landkreis Wesermarsch,107.0,Niedersachsen,NI
3461,201303461,2013,Landkreis Wesermarsch,142.3,Niedersachsen,NI
3461,201703461,2017,Landkreis Wesermarsch,92.0,Niedersachsen,NI
3462,200903462,2009,Landkreis Wittmund,72.3,Niedersachsen,NI
3462,201303462,2013,Landkreis Wittmund,47.6,Niedersachsen,NI
3462,201703462,2017,Landkreis Wittmund,50.800000000000004,Niedersachsen,NI
4011,200904011,2009,Bremen,105.10000000000001,Bremen,HB
4011,201304011,2013,Bremen,90.0,Bremen,HB
4011,201704011,2017,Bremen,62.300000000000004,Bremen,HB
4012,200904012,2009,Bremerhaven,158.4,Bremen,HB
4012,201304012,2013,Bremerhaven,178.10000000000002,Bremen,HB
4012,201704012,2017,Bremerhaven,103.0,Bremen,HB
5111,200905111,2009,Düsseldorf,152.4,Nordrhein-Westfalen,NW
5111,201305111,2013,Düsseldorf,99.5,Nordrhein-Westfalen,NW
5111,201705111,2017,Düsseldorf,84.7,Nordrhein-Westfalen,NW
5112,200905112,2009,Duisburg,206.10000000000002,Nordrhein-Westfalen,NW
5112,201305112,2013,Duisburg,209.3,Nordrhein-Westfalen,NW
5112,201705112,2017,Duisburg,112.2,Nordrhein-Westfalen,NW
5113,200905113,2009,Essen,215.60000000000002,Nordrhein-Westfalen,NW
5113,201305113,2013,Essen,142.70000000000002,Nordrhein-Westfalen,NW
5113,201705113,2017,Essen,103.9,Nordrhein-Westfalen,NW
5114,200905114,2009,Krefeld,204.9,Nordrhein-Westfalen,NW
5114,201305114,2013,Krefeld,130.8,Nordrhein-Westfalen,NW
5114,201705114,2017,Krefeld,85.60000000000001,Nordrhein-Westfalen,NW
5116,200905116,2009,Mönchengladbach,171.8,Nordrhein-Westfalen,NW
5116,201305116,2013,Mönchengladbach,149.6,Nordrhein-Westfalen,NW
5116,201705116,2017,Mönchengladbach,138.70000000000002,Nordrhein-Westfalen,NW
5117,200905117,2009,Mülheim an der Ruhr,171.70000000000002,Nordrhein-Westfalen,NW
5117,201305117,2013,Mülheim an der Ruhr,125.80000000000001,Nordrhein-Westfalen,NW
5117,201705117,2017,Mülheim an der Ruhr,76.2,Nordrhein-Westfalen,NW
5119,200905119,2009,Oberhausen,216.0,Nordrhein-Westfalen,NW
5119,201305119,2013,Oberhausen,186.60000000000002,Nordrhein-Westfalen,NW
5119,201705119,2017,Oberhausen,127.4,Nordrhein-Westfalen,NW
5120,200905120,2009,Remscheid,220.10000000000002,Nordrhein-Westfalen,NW
5120,201305120,2013,Remscheid,117.4,Nordrhein-Westfalen,NW
5120,201705120,2017,Remscheid,60.800000000000004,Nordrhein-Westfalen,NW
5122,200905122,2009,Solingen,154.70000000000002,Nordrhein-Westfalen,NW
5122,201305122,2013,Solingen,138.9,Nordrhein-Westfalen,NW
5122,201705122,2017,Solingen,113.30000000000001,Nordrhein-Westfalen,NW
5124,200905124,2009,Wuppertal,235.70000000000002,Nordrhein-Westfalen,NW
5124,201305124,2013,Wuppertal,159.10000000000002,Nordrhein-Westfalen,NW
5124,201705124,2017,Wuppertal,129.5,Nordrhein-Westfalen,NW
5154,200905154,2009,Kreis Kleve,115.5,Nordrhein-Westfalen,NW
5154,201305154,2013,Kreis Kleve,88.9,Nordrhein-Westfalen,NW
5154,201705154,2017,Kreis Kleve,55.900000000000006,Nordrhein-Westfalen,NW
5158,200905158,2009,Kreis Mettmann,161.0,Nordrhein-Westfalen,NW
5158,201305158,2013,Kreis Mettmann,127.30000000000001,Nordrhein-Westfalen,NW
