,YearSchluessel,Year,Stadt-/Landkreis,Anteil neue Wohngebäude mit 1 oder 2 Wohnungen in Prozent,LAND_NAME,LAND_ABK
3356,201303356,2013,Landkreis Osterholz,96.60000000000001,Niedersachsen,NI
3356,201703356,2017,Landkreis Osterholz,95.4,Niedersachsen,NI
3357,199503357,1995,Landkreis Rotenburg (Wümme),89.80000000000001,Niedersachsen,NI
3357,200003357,2000,Landkreis Rotenburg (Wümme),97.80000000000001,Niedersachsen,NI
3357,200503357,2005,Landkreis Rotenburg (Wümme),97.5,Niedersachsen,NI
3357,200903357,2009,Landkreis Rotenburg (Wümme),99.30000000000001,Niedersachsen,NI
3357,201303357,2013,Landkreis Rotenburg (Wümme),93.80000000000001,Niedersachsen,NI
3357,201703357,2017,Landkreis Rotenburg (Wümme),90.80000000000001,Niedersachsen,NI
3358,199503358,1995,Landkreis Heidekreis,89.2,Niedersachsen,NI
3358,200003358,2000,Landkreis Heidekreis,97.80000000000001,Niedersachsen,NI
3358,200503358,2005,Landkreis Heidekreis,98.5,Niedersachsen,NI
3358,200903358,2009,Landkreis Heidekreis,99.30000000000001,Niedersachsen,NI
3358,201303358,2013,Landkreis Heidekreis,96.60000000000001,Niedersachsen,NI
3358,201703358,2017,Landkreis Heidekreis,95.30000000000001,Niedersachsen,NI
3359,199503359,1995,Landkreis Stade,85.4,Niedersachsen,NI
3359,200003359,2000,Landkreis Stade,97.4,Niedersachsen,NI
3359,200503359,2005,Landkreis Stade,96.0,Niedersachsen,NI
3359,200903359,2009,Landkreis Stade,92.7,Niedersachsen,NI
3359,201303359,2013,Landkreis Stade,94.9,Niedersachsen,NI
3359,201703359,2017,Landkreis Stade,86.7,Niedersachsen,NI
3360,199503360,1995,Landkreis Uelzen,89.2,Niedersachsen,NI
3360,200003360,2000,Landkreis Uelzen,98.0,Niedersachsen,NI
3360,200503360,2005,Landkreis Uelzen,98.0,Niedersachsen,NI
3360,200903360,2009,Landkreis Uelzen,100.0,Niedersachsen,NI
3360,201303360,2013,Landkreis Uelzen,91.5,Niedersachsen,NI
3360,201703360,2017,Landkreis Uelzen,98.0,Niedersachsen,NI
3361,199503361,1995,Landkreis Verden,85.0,Niedersachsen,NI
3361,200003361,2000,Landkreis Verden,95.9,Niedersachsen,NI
3361,200503361,2005,Landkreis Verden,94.10000000000001,Niedersachsen,NI
3361,200903361,2009,Landkreis Verden,95.0,Niedersachsen,NI
3361,201303361,2013,Landkreis Verden,94.7,Niedersachsen,NI
3361,201703361,2017,Landkreis Verden,92.60000000000001,Niedersachsen,NI
3401,199503401,1995,Delmenhorst,65.9,Niedersachsen,NI
3401,200003401,2000,Delmenhorst,95.5,Niedersachsen,NI
