,YearSchluessel,Year,Stadt-/Landkreis,Gewerbeanmeldungen je 10.000 Einwohner,LAND_NAME,LAND_ABK
3453,200903453,2009,Landkreis Cloppenburg,116.60000000000001,Niedersachsen,NI
3453,201303453,2013,Landkreis Cloppenburg,83.80000000000001,Niedersachsen,NI
3453,201703453,2017,Landkreis Cloppenburg,78.5,Niedersachsen,NI
3454,200903454,2009,Landkreis Emsland,99.0,Niedersachsen,NI
3454,201303454,2013,Landkreis Emsland,76.3,Niedersachsen,NI
3454,201703454,2017,Landkreis Emsland,60.5,Niedersachsen,NI
3455,200903455,2009,Landkreis Friesland,82.4,Niedersachsen,NI
3455,201303455,2013,Landkreis Friesland,67.60000000000001,Niedersachsen,NI
3455,201703455,2017,Landkreis Friesland,66.2,Niedersachsen,NI
3456,200903456,2009,Landkreis Grafschaft Bentheim,83.5,Niedersachsen,NI
3456,201303456,2013,Landkreis Grafschaft Bentheim,67.9,Niedersachsen,NI
3456,201703456,2017,Landkreis Grafschaft Bentheim,67.8,Niedersachsen,NI
3457,200903457,2009,Landkreis Leer,89.80000000000001,Niedersachsen,NI
3457,201303457,2013,Landkreis Leer,81.0,Niedersachsen,NI
3457,201703457,2017,Landkreis Leer,75.7,Niedersachsen,NI
3458,200903458,2009,Landkreis Oldenburg (Land),104.0,Niedersachsen,NI
3458,201303458,2013,Landkreis Oldenburg (Land),85.80000000000001,Niedersachsen,NI
3458,201703458,2017,Landkreis Oldenburg (Land),78.30000000000001,Niedersachsen,NI
3459,200903459,2009,Landkreis Osnabrück (Land),85.5,Niedersachsen,NI
3459,201303459,2013,Landkreis Osnabrück (Land),71.4,Niedersachsen,NI
3459,201703459,2017,Landkreis Osnabrück (Land),60.5,Niedersachsen,NI
3460,200903460,2009,Landkreis Vechta,100.80000000000001,Niedersachsen,NI
3460,201303460,2013,Landkreis Vechta,93.2,Niedersachsen,NI
3460,201703460,2017,Landkreis Vechta,67.60000000000001,Niedersachsen,NI
3461,200903461,2009,Landkreis Wesermarsch,92.2,Niedersachsen,NI
3461,201303461,2013,Landkreis Wesermarsch,70.10000000000001,Niedersachsen,NI
3461,201703461,2017,Landkreis Wesermarsch,62.5,Niedersachsen,NI
3462,200903462,2009,Landkreis Wittmund,80.5,Niedersachsen,NI
3462,201303462,2013,Landkreis Wittmund,65.4,Niedersachsen,NI
3462,201703462,2017,Landkreis Wittmund,68.10000000000001,Niedersachsen,NI
4011,200904011,2009,Bremen,93.7,Bremen,HB
4011,201304011,2013,Bremen,83.80000000000001,Bremen,HB
4011,201704011,2017,Bremen,,Bremen,HB
4012,200904012,2009,Bremerhaven,103.10000000000001,Bremen,HB
4012,201304012,2013,Bremerhaven,109.7,Bremen,HB
4012,201704012,2017,Bremerhaven,,Bremen,HB
5111,200905111,2009,Düsseldorf,130.9,Nordrhein-Westfalen,NW
5111,201305111,2013,Düsseldorf,130.70000000000002,Nordrhein-Westfalen,NW
5111,201705111,2017,Düsseldorf,118.10000000000001,Nordrhein-Westfalen,NW
5112,200905112,2009,Duisburg,93.0,Nordrhein-Westfalen,NW
5112,201305112,2013,Duisburg,100.9,Nordrhein-Westfalen,NW
5112,201705112,2017,Duisburg,81.9,Nordrhein-Westfalen,NW
5113,200905113,2009,Essen,97.30000000000001,Nordrhein-Westfalen,NW
5113,201305113,2013,Essen,97.7,Nordrhein-Westfalen,NW
5113,201705113,2017,Essen,90.60000000000001,Nordrhein-Westfalen,NW
5114,200905114,2009,Krefeld,99.60000000000001,Nordrhein-Westfalen,NW
5114,201305114,2013,Krefeld,91.60000000000001,Nordrhein-Westfalen,NW
5114,201705114,2017,Krefeld,94.2,Nordrhein-Westfalen,NW
5116,200905116,2009,Mönchengladbach,114.10000000000001,Nordrhein-Westfalen,NW
5116,201305116,2013,Mönchengladbach,97.80000000000001,Nordrhein-Westfalen,NW
5116,201705116,2017,Mönchengladbach,89.9,Nordrhein-Westfalen,NW
5117,200905117,2009,Mülheim an der Ruhr,66.7,Nordrhein-Westfalen,NW
5117,201305117,2013,Mülheim an der Ruhr,78.80000000000001,Nordrhein-Westfalen,NW
5117,201705117,2017,Mülheim an der Ruhr,69.3,Nordrhein-Westfalen,NW
5119,200905119,2009,Oberhausen,83.2,Nordrhein-Westfalen,NW
5119,201305119,2013,Oberhausen,76.3,Nordrhein-Westfalen,NW
5119,201705119,2017,Oberhausen,75.7,Nordrhein-Westfalen,NW
5120,200905120,2009,Remscheid,84.60000000000001,Nordrhein-Westfalen,NW
5120,201305120,2013,Remscheid,69.10000000000001,Nordrhein-Westfalen,NW
5120,201705120,2017,Remscheid,66.60000000000001,Nordrhein-Westfalen,NW
5122,200905122,2009,Solingen,91.4,Nordrhein-Westfalen,NW
5122,201305122,2013,Solingen,86.30000000000001,Nordrhein-Westfalen,NW
5122,201705122,2017,Solingen,78.60000000000001,Nordrhein-Westfalen,NW
5124,200905124,2009,Wuppertal,88.80000000000001,Nordrhein-Westfalen,NW
5124,201305124,2013,Wuppertal,109.30000000000001,Nordrhein-Westfalen,NW
5124,201705124,2017,Wuppertal,85.5,Nordrhein-Westfalen,NW
5154,200905154,2009,Kreis Kleve,115.60000000000001,Nordrhein-Westfalen,NW
5154,201305154,2013,Kreis Kleve,90.5,Nordrhein-Westfalen,NW
5154,201705154,2017,Kreis Kleve,86.7,Nordrhein-Westfalen,NW
5158,200905158,2009,Kreis Mettmann,101.80000000000001,Nordrhein-Westfalen,NW
5158,201305158,2013,Kreis Mettmann,94.10000000000001,Nordrhein-Westfalen,NW
5158,201705158,2017,Kreis Mettmann,88.9,Nordrhein-Westfalen,NW
5162,200905162,2009,Rhein-Kreis Neuss,100.2,Nordrhein-Westfalen,NW
5162,201305162,2013,Rhein-Kreis Neuss,92.7,Nordrhein-Westfalen,NW
5162,201705162,2017,Rhein-Kreis Neuss,89.2,Nordrhein-Westfalen,NW
5166,200905166,2009,Kreis Viersen,117.7,Nordrhein-Westfalen,NW
5166,201305166,2013,Kreis Viersen,103.2,Nordrhein-Westfalen,NW
5166,201705166,2017,Kreis Viersen,104.2,Nordrhein-Westfalen,NW
5170,200905170,2009,Kreis Wesel,87.0,Nordrhein-Westfalen,NW
5170,201305170,2013,Kreis Wesel,75.4,Nordrhein-Westfalen,NW
5170,201705170,2017,Kreis Wesel,69.8,Nordrhein-Westfalen,NW
5314,200905314,2009,Bonn,94.80000000000001,Nordrhein-Westfalen,NW
5314,201305314,2013,Bonn,92.9,Nordrhein-Westfalen,NW
5314,201705314,2017,Bonn,76.9,Nordrhein-Westfalen,NW
5315,200905315,2009,Köln,125.7,Nordrhein-Westfalen,NW
5315,201305315,2013,Köln,108.4,Nordrhein-Westfalen,NW
5315,201705315,2017,Köln,92.10000000000001,Nordrhein-Westfalen,NW
5316,200905316,2009,Leverkusen,83.80000000000001,Nordrhein-Westfalen,NW
5316,201305316,2013,Leverkusen,79.10000000000001,Nordrhein-Westfalen,NW
5316,201705316,2017,Leverkusen,95.5,Nordrhein-Westfalen,NW
5334,200905334,2009,Aachen,86.10000000000001,Nordrhein-Westfalen,NW
5334,201305334,2013,Aachen,81.60000000000001,Nordrhein-Westfalen,NW
5334,201705334,2017,Aachen,76.9,Nordrhein-Westfalen,NW
5354,200905354,2009,Kreis Aachen,,Nordrhein-Westfalen,NW
5354,201305354,2013,Kreis Aachen,,Nordrhein-Westfalen,NW
5354,201705354,2017,Kreis Aachen,,Nordrhein-Westfalen,NW
5358,200905358,2009,Kreis Düren,90.7,Nordrhein-Westfalen,NW
