,YearSchluessel,Year,Stadt-/Landkreis,Wanderungssaldo je 10.000 Einwohner,LAND_NAME,LAND_ABK
3241,199503241,1995,Hannover,30.700000000000003,Niedersachsen,NI
3241,200003241,2000,Hannover,46.2,Niedersachsen,NI
3241,200503241,2005,Hannover,20.700000000000003,Niedersachsen,NI
3241,200903241,2009,Hannover,23.200000000000003,Niedersachsen,NI
3241,201303241,2013,Hannover,76.5,Niedersachsen,NI
3241,201703241,2017,Hannover,46.300000000000004,Niedersachsen,NI
3251,199503251,1995,Landkreis Diepholz,110.60000000000001,Niedersachsen,NI
3251,200003251,2000,Landkreis Diepholz,68.4,Niedersachsen,NI
3251,200503251,2005,Landkreis Diepholz,31.200000000000003,Niedersachsen,NI
3251,200903251,2009,Landkreis Diepholz,-3.4000000000000004,Niedersachsen,NI
3251,201303251,2013,Landkreis Diepholz,38.5,Niedersachsen,NI
3251,201703251,2017,Landkreis Diepholz,71.3,Niedersachsen,NI
3252,199503252,1995,Landkreis Hameln-Pyrmont,72.5,Niedersachsen,NI
3252,200003252,2000,Landkreis Hameln-Pyrmont,27.0,Niedersachsen,NI
3252,200503252,2005,Landkreis Hameln-Pyrmont,11.200000000000001,Niedersachsen,NI
3252,200903252,2009,Landkreis Hameln-Pyrmont,-16.6,Niedersachsen,NI
3252,201303252,2013,Landkreis Hameln-Pyrmont,19.8,Niedersachsen,NI
3252,201703252,2017,Landkreis Hameln-Pyrmont,57.1,Niedersachsen,NI
3254,199503254,1995,Landkreis Hildesheim,69.10000000000001,Niedersachsen,NI
3254,200003254,2000,Landkreis Hildesheim,38.5,Niedersachsen,NI
3254,200503254,2005,Landkreis Hildesheim,-4.2,Niedersachsen,NI
3254,200903254,2009,Landkreis Hildesheim,-25.700000000000003,Niedersachsen,NI
3254,201303254,2013,Landkreis Hildesheim,18.1,Niedersachsen,NI
3254,201703254,2017,Landkreis Hildesheim,34.4,Niedersachsen,NI
3255,199503255,1995,Landkreis Holzminden,42.300000000000004,Niedersachsen,NI
3255,200003255,2000,Landkreis Holzminden,-30.8,Niedersachsen,NI
3255,200503255,2005,Landkreis Holzminden,-43.300000000000004,Niedersachsen,NI
3255,200903255,2009,Landkreis Holzminden,-64.9,Niedersachsen,NI
3255,201303255,2013,Landkreis Holzminden,8.200000000000001,Niedersachsen,NI
3255,201703255,2017,Landkreis Holzminden,20.700000000000003,Niedersachsen,NI
3256,199503256,1995,Landkreis Nienburg (Weser),147.20000000000002,Niedersachsen,NI
3256,200003256,2000,Landkreis Nienburg (Weser),31.3,Niedersachsen,NI
