,YearSchluessel,Year,Stadt-/Landkreis,BIP je Erwerbstätigen in EUR,Veränderung des BIP zum Vorjahr in %,BIP je Einwohner in EUR,LAND_NAME,LAND_ABK
3452,200903452,2009,Landkreis Aurich,46906.0,0.1,18676.0,Niedersachsen,NI
3452,201303452,2013,Landkreis Aurich,52170.0,6.2,22689.0,Niedersachsen,NI
3452,201603452,2016,Landkreis Aurich,56870.0,2.1,25464.0,Niedersachsen,NI
3453,200003453,2000,Landkreis Cloppenburg,48319.0,,20097.0,Niedersachsen,NI
3453,200503453,2005,Landkreis Cloppenburg,50604.0,1.8,21708.0,Niedersachsen,NI
3453,200903453,2009,Landkreis Cloppenburg,51798.0,-0.1,24872.0,Niedersachsen,NI
3453,201303453,2013,Landkreis Cloppenburg,58321.0,1.0,29865.0,Niedersachsen,NI
3453,201603453,2016,Landkreis Cloppenburg,60292.0,3.7,32209.0,Niedersachsen,NI
3454,200003454,2000,Landkreis Emsland,52599.0,,24867.0,Niedersachsen,NI
3454,200503454,2005,Landkreis Emsland,57760.0,-2.6,27467.0,Niedersachsen,NI
3454,200903454,2009,Landkreis Emsland,60270.0,-5.300000000000001,31776.0,Niedersachsen,NI
3454,201303454,2013,Landkreis Emsland,65171.0,-0.6000000000000001,36757.0,Niedersachsen,NI
3454,201603454,2016,Landkreis Emsland,69322.0,5.800000000000001,39728.0,Niedersachsen,NI
3455,200003455,2000,Landkreis Friesland,47240.0,,19751.0,Niedersachsen,NI
3455,200503455,2005,Landkreis Friesland,47857.0,1.8,19123.0,Niedersachsen,NI
3455,200903455,2009,Landkreis Friesland,48024.0,-4.2,19337.0,Niedersachsen,NI
3455,201303455,2013,Landkreis Friesland,52309.0,-0.1,22382.0,Niedersachsen,NI
3455,201603455,2016,Landkreis Friesland,60179.0,1.9000000000000001,26109.0,Niedersachsen,NI
3456,200003456,2000,Landkreis Grafschaft Bentheim,44885.0,,20589.0,Niedersachsen,NI
3456,200503456,2005,Landkreis Grafschaft Bentheim,44008.0,-0.6000000000000001,19460.0,Niedersachsen,NI
3456,200903456,2009,Landkreis Grafschaft Bentheim,48439.0,-4.1000000000000005,22874.0,Niedersachsen,NI
3456,201303456,2013,Landkreis Grafschaft Bentheim,57314.0,4.1000000000000005,29048.0,Niedersachsen,NI
3456,201603456,2016,Landkreis Grafschaft Bentheim,57318.0,-3.1,29701.0,Niedersachsen,NI
3457,200003457,2000,Landkreis Leer,48084.0,,17337.0,Niedersachsen,NI
