,YearSchluessel,Year,Stadt-/Landkreis,Beschäftigtenquote Männer in %,Beschäftigtenquote Frauen in %,Index Beschäftigtenquote,LAND_NAME,LAND_ABK
3404,201703404,2017,Osnabrück,60.1,52.1,86.60000000000001,Niedersachsen,NI
3404,201303404,2013,Osnabrück,57.300000000000004,49.2,85.9,Niedersachsen,NI
3404,200903404,2009,Osnabrück,49.0,42.900000000000006,87.5,Niedersachsen,NI
3405,201703405,2017,Wilhelmshaven,54.1,50.900000000000006,94.0,Niedersachsen,NI
3405,201303405,2013,Wilhelmshaven,50.2,46.400000000000006,92.4,Niedersachsen,NI
3405,200903405,2009,Wilhelmshaven,42.2,42.1,99.80000000000001,Niedersachsen,NI
3451,201703451,2017,Landkreis Ammerland,63.800000000000004,56.300000000000004,88.30000000000001,Niedersachsen,NI
3451,201303451,2013,Landkreis Ammerland,61.800000000000004,51.6,83.60000000000001,Niedersachsen,NI
3451,200903451,2009,Landkreis Ammerland,56.900000000000006,46.6,82.0,Niedersachsen,NI
3452,201703452,2017,Landkreis Aurich,63.300000000000004,49.1,77.60000000000001,Niedersachsen,NI
3452,201303452,2013,Landkreis Aurich,60.6,43.1,71.2,Niedersachsen,NI
3452,200903452,2009,Landkreis Aurich,55.300000000000004,37.300000000000004,67.4,Niedersachsen,NI
3453,201703453,2017,Landkreis Cloppenburg,68.2,51.800000000000004,75.9,Niedersachsen,NI
3453,201303453,2013,Landkreis Cloppenburg,63.2,45.800000000000004,72.5,Niedersachsen,NI
3453,200903453,2009,Landkreis Cloppenburg,59.1,41.800000000000004,70.8,Niedersachsen,NI
3454,201703454,2017,Landkreis Emsland,65.7,51.300000000000004,78.10000000000001,Niedersachsen,NI
3454,201303454,2013,Landkreis Emsland,61.300000000000004,44.7,73.0,Niedersachsen,NI
3454,200903454,2009,Landkreis Emsland,57.0,39.7,69.7,Niedersachsen,NI
3455,201703455,2017,Landkreis Friesland,60.6,54.800000000000004,90.5,Niedersachsen,NI
3455,201303455,2013,Landkreis Friesland,58.0,49.1,84.80000000000001,Niedersachsen,NI
3455,200903455,2009,Landkreis Friesland,53.1,43.2,81.4,Niedersachsen,NI
3456,201703456,2017,Landkreis Grafschaft Bentheim,62.900000000000006,52.5,83.4,Niedersachsen,NI
3456,201303456,2013,Landkreis Grafschaft Bentheim,59.400000000000006,45.1,75.9,Niedersachsen,NI
3456,200903456,2009,Landkreis Grafschaft Bentheim,54.300000000000004,39.400000000000006,72.60000000000001,Niedersachsen,NI
3457,201703457,2017,Landkreis Leer,61.2,47.300000000000004,77.4,Niedersachsen,NI
3457,201303457,2013,Landkreis Leer,58.800000000000004,40.800000000000004,69.3,Niedersachsen,NI
3457,200903457,2009,Landkreis Leer,54.300000000000004,36.1,66.5,Niedersachsen,NI
3458,201703458,2017,Landkreis Oldenburg (Land),66.9,58.5,87.4,Niedersachsen,NI
3458,201303458,2013,Landkreis Oldenburg (Land),62.300000000000004,52.5,84.30000000000001,Niedersachsen,NI
3458,200903458,2009,Landkreis Oldenburg (Land),56.6,46.6,82.30000000000001,Niedersachsen,NI
3459,201703459,2017,Landkreis Osnabrück (Land),69.4,57.400000000000006,82.7,Niedersachsen,NI
3459,201303459,2013,Landkreis Osnabrück (Land),66.3,51.6,77.9,Niedersachsen,NI
3459,200903459,2009,Landkreis Osnabrück (Land),60.800000000000004,46.900000000000006,77.10000000000001,Niedersachsen,NI
3460,201703460,2017,Landkreis Vechta,71.2,57.300000000000004,80.5,Niedersachsen,NI
3460,201303460,2013,Landkreis Vechta,69.10000000000001,51.800000000000004,75.0,Niedersachsen,NI
3460,200903460,2009,Landkreis Vechta,63.1,45.0,71.3,Niedersachsen,NI
3461,201703461,2017,Landkreis Wesermarsch,66.0,51.1,77.30000000000001,Niedersachsen,NI
3461,201303461,2013,Landkreis Wesermarsch,63.6,45.1,70.9,Niedersachsen,NI
3461,200903461,2009,Landkreis Wesermarsch,59.800000000000004,41.2,68.8,Niedersachsen,NI
3462,201703462,2017,Landkreis Wittmund,60.800000000000004,52.400000000000006,86.2,Niedersachsen,NI
3462,201303462,2013,Landkreis Wittmund,57.5,45.800000000000004,79.7,Niedersachsen,NI
3462,200903462,2009,Landkreis Wittmund,51.7,39.7,76.7,Niedersachsen,NI
4011,201704011,2017,Bremen,56.900000000000006,50.400000000000006,88.7,Bremen,HB
4011,201304011,2013,Bremen,52.900000000000006,46.900000000000006,88.5,Bremen,HB
4011,200904011,2009,Bremen,49.1,43.300000000000004,88.30000000000001,Bremen,HB
4012,201704012,2017,Bremerhaven,58.900000000000006,49.1,83.4,Bremen,HB
4012,201304012,2013,Bremerhaven,56.300000000000004,45.900000000000006,81.60000000000001,Bremen,HB
4012,200904012,2009,Bremerhaven,48.400000000000006,41.1,84.9,Bremen,HB
5111,201705111,2017,Düsseldorf,61.400000000000006,55.300000000000004,90.10000000000001,Nordrhein-Westfalen,NW
5111,201305111,2013,Düsseldorf,56.2,51.1,90.9,Nordrhein-Westfalen,NW
5111,200905111,2009,Düsseldorf,53.300000000000004,47.0,88.10000000000001,Nordrhein-Westfalen,NW
5112,201705112,2017,Duisburg,57.1,43.900000000000006,76.9,Nordrhein-Westfalen,NW
5112,201305112,2013,Duisburg,55.6,40.900000000000006,73.60000000000001,Nordrhein-Westfalen,NW
5112,200905112,2009,Duisburg,52.900000000000006,38.7,73.10000000000001,Nordrhein-Westfalen,NW
5113,201705113,2017,Essen,55.400000000000006,48.6,87.80000000000001,Nordrhein-Westfalen,NW
5113,201305113,2013,Essen,53.300000000000004,45.2,84.9,Nordrhein-Westfalen,NW
5113,200905113,2009,Essen,50.0,41.5,82.9,Nordrhein-Westfalen,NW
5114,201705114,2017,Krefeld,60.1,49.400000000000006,82.2,Nordrhein-Westfalen,NW
5114,201305114,2013,Krefeld,57.5,45.0,78.2,Nordrhein-Westfalen,NW
5114,200905114,2009,Krefeld,51.1,39.7,77.80000000000001,Nordrhein-Westfalen,NW
5116,201705116,2017,Mönchengladbach,58.900000000000006,49.5,84.0,Nordrhein-Westfalen,NW
5116,201305116,2013,Mönchengladbach,54.900000000000006,45.1,82.10000000000001,Nordrhein-Westfalen,NW
5116,200905116,2009,Mönchengladbach,52.300000000000004,41.6,79.5,Nordrhein-Westfalen,NW
5117,201705117,2017,Mülheim an der Ruhr,57.800000000000004,49.7,86.0,Nordrhein-Westfalen,NW
5117,201305117,2013,Mülheim an der Ruhr,57.300000000000004,46.5,81.10000000000001,Nordrhein-Westfalen,NW
5117,200905117,2009,Mülheim an der Ruhr,54.400000000000006,43.6,80.10000000000001,Nordrhein-Westfalen,NW
5119,201705119,2017,Oberhausen,57.2,47.7,83.30000000000001,Nordrhein-Westfalen,NW
5119,201305119,2013,Oberhausen,55.0,43.6,79.2,Nordrhein-Westfalen,NW
5119,200905119,2009,Oberhausen,53.300000000000004,40.0,75.0,Nordrhein-Westfalen,NW
5120,201705120,2017,Remscheid,62.800000000000004,51.400000000000006,82.0,Nordrhein-Westfalen,NW
5120,201305120,2013,Remscheid,60.800000000000004,47.800000000000004,78.5,Nordrhein-Westfalen,NW
5120,200905120,2009,Remscheid,56.1,42.800000000000004,76.3,Nordrhein-Westfalen,NW
5122,201705122,2017,Solingen,63.1,53.800000000000004,85.4,Nordrhein-Westfalen,NW
5122,201305122,2013,Solingen,60.5,51.1,84.4,Nordrhein-Westfalen,NW
5122,200905122,2009,Solingen,54.6,45.900000000000006,84.0,Nordrhein-Westfalen,NW
5124,201705124,2017,Wuppertal,57.900000000000006,49.300000000000004,85.10000000000001,Nordrhein-Westfalen,NW
5124,201305124,2013,Wuppertal,55.0,45.6,82.80000000000001,Nordrhein-Westfalen,NW
5124,200905124,2009,Wuppertal,50.6,41.900000000000006,82.80000000000001,Nordrhein-Westfalen,NW
5154,201705154,2017,Kreis Kleve,56.900000000000006,50.7,89.2,Nordrhein-Westfalen,NW
5154,201305154,2013,Kreis Kleve,54.6,45.0,82.5,Nordrhein-Westfalen,NW
5154,200905154,2009,Kreis Kleve,51.300000000000004,40.2,78.4,Nordrhein-Westfalen,NW
5158,201705158,2017,Kreis Mettmann,64.10000000000001,55.300000000000004,86.2,Nordrhein-Westfalen,NW
5158,201305158,2013,Kreis Mettmann,62.0,51.6,83.2,Nordrhein-Westfalen,NW
5158,200905158,2009,Kreis Mettmann,56.400000000000006,46.400000000000006,82.30000000000001,Nordrhein-Westfalen,NW
5162,201705162,2017,Rhein-Kreis Neuss,65.0,53.800000000000004,82.9,Nordrhein-Westfalen,NW
5162,201305162,2013,Rhein-Kreis Neuss,62.0,49.2,79.4,Nordrhein-Westfalen,NW
5162,200905162,2009,Rhein-Kreis Neuss,57.900000000000006,45.0,77.7,Nordrhein-Westfalen,NW
5166,201705166,2017,Kreis Viersen,60.1,51.7,86.0,Nordrhein-Westfalen,NW
5166,201305166,2013,Kreis Viersen,57.7,47.7,82.60000000000001,Nordrhein-Westfalen,NW
5166,200905166,2009,Kreis Viersen,55.0,43.900000000000006,79.80000000000001,Nordrhein-Westfalen,NW
5170,201705170,2017,Kreis Wesel,60.1,50.1,83.30000000000001,Nordrhein-Westfalen,NW
5170,201305170,2013,Kreis Wesel,58.400000000000006,45.400000000000006,77.60000000000001,Nordrhein-Westfalen,NW
5170,200905170,2009,Kreis Wesel,55.6,40.800000000000004,73.3,Nordrhein-Westfalen,NW
5314,201705314,2017,Bonn,55.400000000000006,49.6,89.60000000000001,Nordrhein-Westfalen,NW
5314,201305314,2013,Bonn,52.800000000000004,47.6,90.10000000000001,Nordrhein-Westfalen,NW
5314,200905314,2009,Bonn,46.400000000000006,43.300000000000004,93.30000000000001,Nordrhein-Westfalen,NW
5315,201705315,2017,Köln,57.800000000000004,51.2,88.60000000000001,Nordrhein-Westfalen,NW
5315,201305315,2013,Köln,54.900000000000006,48.2,87.80000000000001,Nordrhein-Westfalen,NW
5315,200905315,2009,Köln,51.800000000000004,44.7,86.2,Nordrhein-Westfalen,NW
5316,201705316,2017,Leverkusen,65.0,51.800000000000004,79.7,Nordrhein-Westfalen,NW
5316,201305316,2013,Leverkusen,62.400000000000006,48.6,77.9,Nordrhein-Westfalen,NW
5316,200905316,2009,Leverkusen,59.300000000000004,45.400000000000006,76.60000000000001,Nordrhein-Westfalen,NW
5334,201705334,2017,Aachen,55.7,49.800000000000004,89.4,Nordrhein-Westfalen,NW
5334,201305334,2013,Aachen,52.1,45.1,86.60000000000001,Nordrhein-Westfalen,NW
5334,200905334,2009,Aachen,,,,Nordrhein-Westfalen,NW
5354,201705354,2017,Kreis Aachen,,,,Nordrhein-Westfalen,NW
5354,201305354,2013,Kreis Aachen,,,,Nordrhein-Westfalen,NW
5354,200905354,2009,Kreis Aachen,54.0,41.2,76.2,Nordrhein-Westfalen,NW
5358,201705358,2017,Kreis Düren,61.6,50.2,81.4,Nordrhein-Westfalen,NW
5358,201305358,2013,Kreis Düren,58.400000000000006,45.300000000000004,77.7,Nordrhein-Westfalen,NW
5358,200905358,2009,Kreis Düren,52.5,40.400000000000006,77.0,Nordrhein-Westfalen,NW
5362,201705362,2017,Rhein-Erft-Kreis,64.8,53.1,81.9,Nordrhein-Westfalen,NW
5362,201305362,2013,Rhein-Erft-Kreis,61.0,47.800000000000004,78.5,Nordrhein-Westfalen,NW
5362,200905362,2009,Rhein-Erft-Kreis,55.300000000000004,43.1,78.0,Nordrhein-Westfalen,NW
5366,201705366,2017,Kreis Euskirchen,61.0,52.5,86.0,Nordrhein-Westfalen,NW
5366,201305366,2013,Kreis Euskirchen,57.900000000000006,47.0,81.10000000000001,Nordrhein-Westfalen,NW
5366,200905366,2009,Kreis Euskirchen,54.5,42.400000000000006,77.9,Nordrhein-Westfalen,NW
5370,201705370,2017,Kreis Heinsberg,59.5,49.0,82.4,Nordrhein-Westfalen,NW
5370,201305370,2013,Kreis Heinsberg,56.0,43.7,78.0,Nordrhein-Westfalen,NW
5370,200905370,2009,Kreis Heinsberg,50.800000000000004,38.2,75.10000000000001,Nordrhein-Westfalen,NW
5374,201705374,2017,Oberbergischer Kreis,66.4,53.1,80.0,Nordrhein-Westfalen,NW
5374,201305374,2013,Oberbergischer Kreis,64.0,48.300000000000004,75.60000000000001,Nordrhein-Westfalen,NW
5374,200905374,2009,Oberbergischer Kreis,55.6,41.400000000000006,74.4,Nordrhein-Westfalen,NW
5378,201705378,2017,Rheinisch-Bergischer Kreis,61.800000000000004,54.300000000000004,87.9,Nordrhein-Westfalen,NW
5378,201305378,2013,Rheinisch-Bergischer Kreis,59.6,49.900000000000006,83.80000000000001,Nordrhein-Westfalen,NW
5378,200905378,2009,Rheinisch-Bergischer Kreis,56.400000000000006,46.0,81.60000000000001,Nordrhein-Westfalen,NW
5382,201705382,2017,Rhein-Sieg-Kreis,59.800000000000004,53.6,89.60000000000001,Nordrhein-Westfalen,NW
5382,201305382,2013,Rhein-Sieg-Kreis,57.5,49.7,86.30000000000001,Nordrhein-Westfalen,NW
5382,200905382,2009,Rhein-Sieg-Kreis,52.300000000000004,44.6,85.30000000000001,Nordrhein-Westfalen,NW
5512,201705512,2017,Bottrop,57.0,48.1,84.30000000000001,Nordrhein-Westfalen,NW
5512,201305512,2013,Bottrop,55.400000000000006,43.800000000000004,79.0,Nordrhein-Westfalen,NW
